solvent,redox_type,a,b,r2,p_value,n_points,source
2-propanol,oxidation,0.7997102978419868,0.23576615132249568,0.7250018610540149,0.031453199639724906,6,per_solvent
acetone,oxidation,0.8037960951149551,0.20392939634217477,0.7513218756131314,0.025436108453480714,6,per_solvent
acetonitrile,oxidation,0.8213607543584655,0.27529050627526197,0.59616791230726,5.962502944880858e-50,246,per_solvent
dichloromethane,oxidation,0.7960517477626181,0.10568676376451247,0.7143466775712599,4.512967730671295e-19,66,per_solvent
dimethoxyethane,oxidation,0.8602002155575756,0.16228832761343992,,,1,global_fallback
dimethylformamide,oxidation,0.7191461328469446,0.20877696594204542,0.723175644405363,0.03189730647055675,6,per_solvent
dimethylsulfoxide,oxidation,0.8266163819267279,0.20249334831218713,0.7013137677164916,5.584001809999582e-11,38,per_solvent
ethanol,oxidation,0.8834957387966255,-0.06773365303206136,0.7378900843766629,6.185332344641594e-07,21,per_solvent
formamide,oxidation,0.8054633301295995,0.05135405603784993,0.8098576272455061,0.014522551789771401,6,per_solvent
methanol,oxidation,0.7844164664104358,0.11603512215263778,0.8131912425690632,0.013999454410057347,6,per_solvent
n-methylpyrrolidone,oxidation,0.756705857992471,0.18858775249653958,0.6903019464112138,0.04050048030259377,6,per_solvent
propylene carbonate,oxidation,0.8304921038787277,0.2536845979360518,0.8554239216179041,7.498100380237453e-13,29,per_solvent
tetrahydrofuran,oxidation,0.6783938441273386,0.42092056633978936,0.677329318717044,0.0229568349677786,7,per_solvent
water,oxidation,0.35942250471151965,0.457585675208182,0.12921524307729304,0.14289569128139934,18,per_solvent
2-propanol,reduction,1.1078086242922223,-0.6127644926773255,,,1,global_fallback
acetone,reduction,0.6453687035851183,-0.4748443702496914,0.8424736217790046,0.08213638171076598,4,per_solvent
acetonitrile,reduction,1.1743410041975526,-0.6406588564771883,0.8376662483680412,4.8289682934673285e-86,215,per_solvent
dimethoxyethane,reduction,1.2446150496765156,-0.12451685661233824,0.9714186865140023,4.737721852926979e-05,7,per_solvent
dimethylformamide,reduction,1.3714400636439812,-0.5627867354184681,0.9107703777756145,1.9856152722971817e-47,89,per_solvent
dimethylsulfoxide,reduction,1.3155857159537458,-0.480192453311858,0.9179950325947014,1.27145168809621e-26,48,per_solvent
methanol,reduction,1.1367716191382946,-0.3225160270438792,0.7555768179180732,6.144204149070923e-12,36,per_solvent
propylene carbonate,reduction,1.2615553959122894,-0.44513340989658273,0.4912102075766979,0.18733534705969632,5,per_solvent
tetrahydrofuran,reduction,1.1233015744703445,-0.08396280238286002,0.8545708018705952,3.2015267278279554e-16,37,per_solvent
water,reduction,0.2536413678235878,-0.6038741043051329,0.20501431646408277,1.6775986062479354e-11,200,per_solvent
