solvent,smiles,CAS,Molecular weight,"Vapor pressure, mmHg(20C)","Flash point, K","Refractive index, n20/D","Boiling point, C","Melting point, C","Viscosity, cp(20C)","Density, g/mL(25C)",Dielectric permittivity
2-propanol,CC(C)O,67-63-0,60.1,33.0,285,1.377,82.0,-89.5,2.3,0.785,17.9
acetonitrile,CC#N,75-05-8,41.05,72.8,279,1.344,81.0,-45.0,0.37,0.786,37.5
acetone,CC(C)=O,67-64-1,58.08,184.0,253,1.359,56.0,-94.0,0.32,0.791,20.7
dichloromethane,ClCCl,75-09-2,84.93,353.2,1000,1.424,40.0,-95.0,0.43,1.325,8.9
dimethoxyethane,COCCOC,110-71-4,90.12,48.0,271,1.379,85.0,-58.0,0.46,0.867,7.2
dimethylsulfoxide,CS(C)=O,67-68-5,78.13,0.42,368,1.479,189.0,17.0,2.24,1.1,46.7
ethanol,CCO,64-17-5,46.07,44.6,286,1.36,78.0,-114.0,1.2,0.785,24.5
formamide,NC=O,75-12-7,45.04,0.08,427,1.447,210.0,2.0,3.76,1.134,111.0
methanol,CO,67-56-1,32.04,97.68,285,1.329,64.7,-98.0,0.55,0.791,32.7
dimethylformamide,CN(C)C=O,68-12-2,73.09,2.7,331,1.43,153.0,-61.0,0.85,0.944,36.7
N-methylpyrrolidone,CN1CCCC1=O,872-50-4,99.13,0.29,364,1.47,202.0,-24.0,1.67,1.028,32.2
propylene carbonate,CC1COC(=O)O1,108-32-7,102.09,0.13,405,1.421,240.0,-55.0,2.76,1.204,64.9
tetrahydrofuran,C1CCOC1,109-99-9,72.11,143.0,259,1.407,66.0,-108.0,0.55,0.889,7.6
water,O,7732-18-5,18.02,17.5,1000,1.34,100.0,0.0,1.0,1.0,80.1
