molecule_smiles,solvent_smiles,redox_type,E_value,target_type,data_type,solvent_mode,vapor_pressure,melting_point,viscosity,density,dielectric,target_type_indicator,redox_type_binary
Brc1ccc(I)cc1,CC#N,ox,2.1,experimental,exp,descriptors,72.8,-45.0,0.37,0.786,37.5,1,1
Brc1ccc(I)cc1,CC#N,red,-1.95,experimental,exp,descriptors,72.8,-45.0,0.37,0.786,37.5,1,0
Brc1ccc(I)cc1,CC(C)O,ox,1.467674,calculated,calc,descriptors,33.0,-89.5,2.3,0.785,17.9,0,1
Brc1ccc(I)cc1,CN1CCCC1=O,ox,1.317985,calculated,calc,descriptors,0.29,-24.0,1.67,1.028,32.2,0,1
Brc1ccc(I)cc1,CC(C)=O,ox,1.41847,calculated,calc,descriptors,184.0,-94.0,0.32,0.791,20.7,0,1
Brc1ccc(I)cc1,N#Cc1ccccc1,ox,1.473575,calculated,calc,descriptors,0.6,-13.0,1.24,1.0,25.5,0,1
Brc1ccc(I)cc1,ClCCl,ox,1.315989,calculated,calc,descriptors,353.2,-95.0,0.43,1.325,8.9,0,1
Brc1ccc(I)cc1,CC(=O)N(C)C,ox,1.430529,calculated,calc,descriptors,2.0,-20.0,2.14,0.937,37.8,0,1
Brc1ccc(I)cc1,CN(C)C=O,ox,1.271356,calculated,calc,descriptors,2.7,-61.0,0.85,0.944,36.7,0,1
Brc1ccc(I)cc1,CS(C)=O,ox,1.412589,calculated,calc,descriptors,0.42,17.0,2.24,1.1,46.7,0,1
Brc1ccc(I)cc1,CCO,ox,1.258163,calculated,calc,descriptors,44.6,-114.0,1.2,0.785,24.5,0,1
Brc1ccc(I)cc1,NC=O,ox,1.213536,calculated,calc,descriptors,0.08,2.0,3.76,1.134,111.0,0,1
Brc1ccc(I)cc1,CN(C)P(=O)(N(C)C)N(C)C,ox,1.45341,calculated,calc,descriptors,0.07,7.0,4.8,1.03,30.0,0,1
Brc1ccc(I)cc1,CO,ox,1.277451,calculated,calc,descriptors,97.68,-98.0,0.55,0.791,32.7,0,1
Brc1ccc(I)cc1,CC1COC(=O)O1,ox,1.449087,calculated,calc,descriptors,0.13,-55.0,2.76,1.204,64.9,0,1
Brc1ccc(I)cc1,c1ccncc1,ox,1.507717,calculated,calc,descriptors,20.0,-42.0,0.95,0.978,12.4,0,1
Brc1ccc(I)cc1,C1CCOC1,ox,1.507287,calculated,calc,descriptors,143.0,-108.0,0.55,0.889,7.6,0,1
Brc1ccc(I)cc1,CN1CCCC1=O,red,-2.12586,calculated,calc,descriptors,0.29,-24.0,1.67,1.028,32.2,0,0
Brc1ccc(I)cc1,N#Cc1ccccc1,red,-2.153149,calculated,calc,descriptors,0.6,-13.0,1.24,1.0,25.5,0,0
Brc1ccc(I)cc1,ClCCl,red,-2.700169,calculated,calc,descriptors,353.2,-95.0,0.43,1.325,8.9,0,0
Brc1ccc(I)cc1,COCCOC,red,-2.548998,calculated,calc,descriptors,48.0,-58.0,0.46,0.867,7.2,0,0
Brc1ccc(I)cc1,CC(=O)N(C)C,red,-2.110032,calculated,calc,descriptors,2.0,-20.0,2.14,0.937,37.8,0,0
Brc1ccc(I)cc1,CN(C)C=O,red,-2.419855,calculated,calc,descriptors,2.7,-61.0,0.85,0.944,36.7,0,0
Brc1ccc(I)cc1,CS(C)=O,red,-2.224992,calculated,calc,descriptors,0.42,17.0,2.24,1.1,46.7,0,0
Brc1ccc(I)cc1,CCO,red,-2.191727,calculated,calc,descriptors,44.6,-114.0,1.2,0.785,24.5,0,0
Brc1ccc(I)cc1,NC=O,red,-2.005514,calculated,calc,descriptors,0.08,2.0,3.76,1.134,111.0,0,0
Brc1ccc(I)cc1,CN(C)P(=O)(N(C)C)N(C)C,red,-2.133532,calculated,calc,descriptors,0.07,7.0,4.8,1.03,30.0,0,0
Brc1ccc(I)cc1,CO,red,-1.884893,calculated,calc,descriptors,97.68,-98.0,0.55,0.791,32.7,0,0
Brc1ccc(I)cc1,c1ccncc1,red,-2.422588,calculated,calc,descriptors,20.0,-42.0,0.95,0.978,12.4,0,0
Brc1ccc(I)cc1,C1CCOC1,red,-2.249501,calculated,calc,descriptors,143.0,-108.0,0.55,0.889,7.6,0,0
Brc1ccc(Nc2ccc(Br)cc2)cc1,CS(C)=O,ox,1.02,experimental,exp,descriptors,0.42,17.0,2.24,1.1,46.7,1,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,CC(C)O,ox,1.081074,calculated,calc,descriptors,33.0,-89.5,2.3,0.785,17.9,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,CN1CCCC1=O,ox,0.969912,calculated,calc,descriptors,0.29,-24.0,1.67,1.028,32.2,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,CC(C)=O,ox,1.034967,calculated,calc,descriptors,184.0,-94.0,0.32,0.791,20.7,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,CC#N,ox,1.109485,calculated,calc,descriptors,72.8,-45.0,0.37,0.786,37.5,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,N#Cc1ccccc1,ox,1.069808,calculated,calc,descriptors,0.6,-13.0,1.24,1.0,25.5,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,ClCCl,ox,0.895596,calculated,calc,descriptors,353.2,-95.0,0.43,1.325,8.9,0,1
Brc1ccc(Nc2ccc(Br)cc2)cc1,CC(=O)N(C)C,ox,1.035379,calculated,calc,descriptors,2.0,-20.0,2.14,0.937,37.8,0,1
