solvent_smiles,count,R2,RMSE,MAE
C1CCOC1,8,0.9602414500136464,0.16038204729557037,0.13486716151237488
CC#N,92,0.9775522010362081,0.22357307374477386,0.15196213126182556
CC(C)=O,2,0.9711703753845644,0.14508803188800812,0.14482930302619934
CC(C)O,1,,0.31898555159568787,0.31898555159568787
CC1COC(=O)O1,6,0.9913951441259301,0.10467690974473953,0.090641088783741
CCO,4,0.3072594905509589,0.28448376059532166,0.26440244913101196
CN(C)C=O,19,0.9455951561525971,0.21054121851921082,0.14155477285385132
CO,8,0.9035655992966719,0.17132756114006042,0.12133558839559555
COCCOC,1,,0.07365727424621582,0.07365727424621582
CS(C)=O,17,0.9611488077386072,0.23625262081623077,0.15505561232566833
ClCCl,13,0.5856269801000524,0.2692674696445465,0.21739435195922852
O,43,0.9467221885475406,0.08599693328142166,0.06649240106344223
