split,smiles,solvent_smiles,redox_type,data_type,E_value,MW
fold_3_train,COC(=O)c1ccccc1,CS(C)=O,red,calc,-2.0598459243774414,136.14999999999998
fold_3_train,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CN1CCCC1=O,red,calc,-1.5560400485992432,229.123
fold_3_train,c1ccc2ccccc2c1,ClCCl,red,calc,-2.8829400539398193,128.17399999999995
fold_3_train,N#Cc1cccc(N)c1,c1ccncc1,red,calc,-2.2510828971862793,118.13899999999998
fold_3_train,O=[N+]([O-])c1nccn1CCN1CCCCC1,c1ccncc1,ox,calc,0.6605759859085083,224.26399999999992
fold_3_train,O=[N+]([O-])c1ccc(Cl)cc1,CC(C)=O,ox,calc,2.540971040725708,157.55599999999998
fold_3_train,Cn1cnc([N+](=O)[O-])c1S(N)(=O)=O,CC(C)=O,ox,calc,1.783821940422058,206.18299999999996
fold_3_train,C(=N/c1ccccc1)\c1ccccc1,CC1COC(=O)O1,ox,calc,1.3015929460525513,181.238
fold_3_train,CCn1c2ccccc2c2ccccc21,C1CCOC1,red,calc,-2.6362900733947754,195.265
fold_3_train,CSc1cccc2ccccc12,CS(C)=O,red,calc,-1.6004879474639893,174.26799999999997
fold_3_train,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,CN(C)P(=O)(N(C)C)N(C)C,red,calc,-0.8205040097236633,198.13799999999998
fold_3_train,Nc1cccc(C(F)(F)F)c1,CC(=O)N(C)C,red,calc,-2.0536000728607178,161.126
fold_3_train,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,CO,red,calc,-0.8282489776611328,184.10699999999997
fold_3_train,COc1cc(OC)c(OC)cc1OC,CC(=O)N(C)C,red,calc,-2.5449230670928955,198.218
fold_3_train,O=Cc1ccc(Cl)cc1,CO,ox,calc,2.066059112548828,140.569
fold_3_train,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)n2)cc1,N#Cc1ccccc1,ox,calc,0.7984309792518616,490.5660000000002
fold_3_train,O=C(O)c1ccc2ccccc2c1,ClCCl,ox,calc,1.6386059522628784,172.183
fold_3_train,O=Cc1ccc(-c2ccccc2)cc1,CC(=O)N(C)C,red,calc,-1.8052409887313843,182.222
fold_3_train,COc1ccc(OC)c2c(OC)ccc(OC)c12,NC=O,red,calc,-2.0747621059417725,248.27799999999996
fold_3_train,C1=Cc2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C=C5,CC1COC(=O)O1,ox,calc,1.5430330038070679,300.36
fold_3_train,O=C1CCCCN1,CN1CCCC1=O,red,calc,-3.1771349906921387,99.13300000000001
fold_3_train,O=[N+]([O-])c1nccn1CCCCCCN1CCOCC1,CN(C)P(=O)(N(C)C)N(C)C,red,calc,-0.984112024307251,282.344
fold_3_train,COc1cccc2c(OC)cccc12,CC#N,red,calc,-2.5582690238952637,188.226
fold_3_train,Oc1ccccc1,CS(C)=O,ox,calc,1.5159629583358765,94.11299999999999
fold_3_train,Brc1ccccc1,C1CCOC1,ox,calc,1.9867719411849976,157.01
fold_3_train,O=Cc1ccccc1,CN(C)P(=O)(N(C)C)N(C)C,ox,calc,2.2802491188049316,106.12399999999997
fold_3_train,Sc1ccc(S)cc1,NC=O,red,calc,-0.9881830215454102,142.24800000000002
fold_3_train,Cc1ncc([N+](=O)[O-])n1CCO,c1ccncc1,ox,calc,2.255924940109253,171.15599999999998
fold_3_train,O=[N+]([O-])c1nccn1CCCCN1CCCCC1,CS(C)=O,ox,calc,0.4883140027523041,252.3179999999999
fold_3_train,CCCCCCCCCCCCCCCCC1(C)CCc2cc(O)cc(C)c2O1,C1CCOC1,red,calc,-3.064044952392578,402.6630000000001
fold_3_train,CC(C)c1cccc(C(C)C)c1N,CCO,ox,calc,0.531719982624054,177.29099999999994
fold_3_train,O=[N+]([O-])c1nccn1CCNc1ccccc1,CN1CCCC1=O,red,calc,-1.0051909685134888,232.24300000000002
fold_3_train,CC(=O)c1ccc(C(C)(C)C)cc1,N#Cc1ccccc1,red,calc,-2.151521921157837,176.259
fold_3_train,COc1cccc(-c2cccc(OC)c2)c1,CC(=O)N(C)C,red,calc,-2.2794339656829834,214.26399999999998
fold_3_train,O=[N+]([O-])c1nccn1CC(O)CN1CCCC(O)C1,CC(=O)N(C)C,ox,calc,0.7155870199203491,270.289
fold_3_train,O=S1CC2=NOS3=C2C(=NO3)C1,c1ccncc1,ox,calc,1.0153230428695679,204.23199999999997
fold_3_train,O=C1C=CC(=O)c2c(O)ccc(O)c21,CC#N,ox,calc,2.72000789642334,190.154
fold_3_train,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,CO,red,calc,-2.35992693901062,260.34000000000003
fold_3_train,Clc1ccccc1,CO,ox,calc,1.9787410497665405,112.55899999999997
fold_3_train,CC1=C(C)C(=O)c2c(c(C)n(C)c2-c2ccccc2)C1=O,CS(C)=O,ox,calc,2.03438401222229,279.33900000000006
fold_3_train,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,CC(C)O,ox,calc,2.225553035736084,236.26999999999998
fold_3_train,c1ccc2ncncc2c1,c1ccncc1,ox,calc,2.4826929569244385,130.15
fold_3_train,N#Cc1ccc(C#N)cc1,COCCOC,red,calc,-1.6630109548568726,128.134
fold_3_train,C/C=C/c1ccc(F)cc1,ClCCl,ox,calc,1.4113980531692505,136.16899999999998
fold_3_train,CCNCC,CC(=O)N(C)C,ox,calc,0.6941009759902954,73.139
fold_3_train,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,CN(C)P(=O)(N(C)C)N(C)C,ox,calc,2.708590030670166,227.00599999999997
fold_3_train,c1ccc2ncncc2c1,CS(C)=O,red,calc,-1.502879023551941,130.15
fold_3_train,O=C1C=C(Cl)C(=O)C(Cl)=C1,c1ccncc1,ox,calc,2.8717880249023438,176.98600000000002
fold_3_train,COc1ccc2c(c1)Cc1cc(OC)ccc1-2,CC1COC(=O)O1,ox,calc,1.3087060451507568,226.27499999999998
fold_3_train,COCc1ccc([N+](=O)[O-])o1,CCO,ox,calc,2.048957109451294,157.12499999999997
fold_3_train,c1ccc(-n2nc3ccccc3n2)cc1,C1CCOC1,red,calc,-1.5765299797058105,195.22500000000002
fold_3_train,COc1c(C)c(C)c(O)c(C)c1C,NC=O,ox,calc,1.0067640542984009,180.24699999999996
fold_3_train,CCN(C)C,COCCOC,red,calc,-6.399429798126221,73.139
fold_3_train,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,CO,red,calc,-0.08025500178337097,212.117
fold_3_train,O=[N+]([O-])c1cnc2n1CCS2,CCO,ox,calc,1.294219970703125,171.181
fold_3_train,CC1=C(C)C(=O)c2c(c(C)n(C)c2-c2ccccc2)C1=O,CN(C)C=O,ox,calc,1.8017929792404175,279.33900000000006
fold_3_train,COc1ccccc1,CC(C)O,ox,calc,1.5755970478057861,108.13999999999997
fold_3_train,Cc1ccccc1[N+](=O)[O-],CC#N,ox,calc,2.317091941833496,137.138
fold_3_train,Cc1ccccc1C=O,C1CCOC1,red,calc,-2.1425058841705322,120.15099999999998
fold_3_train,C/C=C/c1ccccc1C,CC(=O)N(C)C,ox,calc,1.4893900156021118,132.20599999999996
fold_3_train,O=C(O)c1ccccc1,C1CCOC1,ox,calc,2.2475359439849854,122.12299999999996
fold_3_train,CCOC(=O)/C=C/C(=O)OCC,CC(C)O,ox,calc,2.0607409477233887,172.17999999999995
fold_3_train,COCC1=CC(=O)c2ccccc2C1=O,CC#N,ox,calc,2.175995111465454,202.20899999999997
fold_3_train,c1ccc2cc3c(cc2c1)[nH]c1cc2ccccc2cc13,CC(=O)N(C)C,ox,calc,0.9770470261573792,267.331
fold_3_train,COCCOc1cc(C(C)(C)C)c(OCCOC)cc1C(C)(C)C,C1CCOC1,ox,calc,0.98471999168396,338.48800000000006
fold_3_train,O=C(c1ccccc1)c1cccc(C(F)(F)F)c1,CC1COC(=O)O1,ox,calc,2.2990100383758545,250.21899999999997
fold_3_train,O=Cc1ccc(-c2ccccc2)cc1,CS(C)=O,ox,calc,1.9619439840316772,182.222
fold_3_train,COc1ccc(-c2ccc(OC)cc2C)c(C)c1,C1CCOC1,ox,calc,1.4124020338058472,242.31799999999996
fold_3_train,O=Cc1ccc(Cl)cc1,C1CCOC1,ox,calc,2.161923885345459,140.569
fold_3_train,COc1ccc2ccc(OC)cc2c1,CCO,red,calc,-2.3086140155792236,188.22599999999997
fold_3_train,O=C1C=CC(=O)O1,CN1CCCC1=O,ox,calc,2.5172719955444336,98.057
fold_3_train,COC(=O)c1ccccc1,CC(C)O,ox,calc,2.278747081756592,136.14999999999998
fold_3_train,Nc1cccc(S(=O)(=O)C(F)(F)F)c1,c1ccncc1,red,calc,-1.7327899932861328,225.19099999999997
fold_3_train,Nc1c(Cl)cc(Cl)cc1Cl,CO,red,calc,-1.5461939573287964,196.464
fold_3_train,Cn1cnc([N+](=O)[O-])c1Cl,CC(=O)N(C)C,ox,calc,2.3448328971862793,161.548
fold_3_train,CCOC(=O)CBr,CN(C)P(=O)(N(C)C)N(C)C,red,calc,-1.2140380144119263,167.002
fold_3_train,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,CN1CCCC1=O,red,calc,-1.1062439680099487,220.31199999999995
fold_3_train,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC#N,ox,calc,1.0323810577392578,318.37600000000003
fold_3_train,CC(=O)c1ccc(C)c(C)c1,CO,red,calc,-1.848855972290039,148.20499999999998
