solvent,avg_train_N,avg_val_N,test_N,total
C1CCOC1,822.4,205.6,8,1036.0
CC#N,822.4,205.6,92,1120.0
CC(=O)N(C)C,822.4,205.6,0,1028.0
CC(C)=O,412.0,103.0,2,517.0
CC(C)O,411.2,102.8,1,515.0
CC1COC(=O)O1,412.0,103.0,6,521.0
CCO,822.4,205.6,4,1032.0
CN(C)C=O,822.4,205.6,19,1047.0
CN(C)P(=O)(N(C)C)N(C)C,822.4,205.6,0,1028.0
CN1CCCC1=O,822.4,205.6,0,1028.0
CO,822.4,205.6,8,1036.0
COCCOC,412.0,103.0,1,516.0
CS(C)=O,822.4,205.6,17,1045.0
ClCCl,822.4,205.6,13,1041.0
N#Cc1ccccc1,822.4,205.6,0,1028.0
NC=O,822.4,205.6,0,1028.0
O,131.2,32.8,43,207.0
c1ccncc1,822.4,205.6,0,1028.0
