name,n_total,n_calc,n_exp,n_ox,n_red,n_solvents,e_min,e_max,e_mean,e_std,e_median,mw_min,mw_max,mw_mean,mw_std,mw_median,fold,split
fold_1_train,12469,11911,558,6590,5879,18,-6.712335109710693,3.806734085083008,-0.03316109331797454,1.8992397879161573,0.6199020147323608,45.085,804.9570000000001,213.33631333707598,113.53137603129991,189.19599999999997,1,train
fold_1_val,3118,2983,135,1646,1472,18,-6.309814929962158,3.7602949142456055,-0.03464850718442248,1.9059644926565684,0.6163914799690247,45.085,804.9570000000001,215.2919432328416,116.84205186919444,189.19599999999997,1,val
fold_2_train,12469,11918,551,6591,5878,18,-6.712335109710693,3.806734085083008,-0.03468754051839487,1.9076040524807159,0.6209149956703186,45.085,804.9570000000001,213.68568706391852,114.27918819270656,189.19599999999997,2,train
fold_2_val,3118,2976,142,1645,1473,18,-6.399429798126221,3.574039936065674,-0.02854418706189485,1.8722545409720257,0.6117664873600006,45.085,804.9570000000001,213.894784477229,113.90265766572774,190.154,2,val
fold_3_train,12470,11911,559,6586,5884,18,-6.712335109710693,3.78775691986084,-0.03226216442892537,1.899109588288506,0.6180104911327362,45.085,804.9570000000001,213.60281323175624,113.64557225992704,189.19599999999997,3,train
fold_3_val,3117,2983,134,1650,1467,18,-6.467645168304443,3.806734085083008,-0.03824527672574732,1.9064785548544385,0.6240829825401306,45.085,804.9570000000001,214.22640006416427,116.40992848731696,190.154,3,val
fold_4_train,12470,11918,552,6585,5885,18,-6.499398231506348,3.806734085083008,-0.03264687144321314,1.8950220967213847,0.6161099970340729,45.085,804.9570000000001,214.087204170008,115.13297901905895,189.19599999999997,4,train
fold_4_val,3117,2976,141,1651,1466,18,-6.712335109710693,3.78775691986084,-0.0367062018241854,1.922685572880227,0.6254600286483765,45.085,804.9570000000001,212.28852550529356,110.39759450868291,189.19599999999997,4,val
fold_5_train,12470,11918,552,6592,5878,18,-6.712335109710693,3.806734085083008,-0.034535571716131336,1.9019359467587305,0.6189010143280029,45.085,804.9570000000001,213.9255204490778,114.42198355484847,190.154,5,train
fold_5_val,3117,2976,141,1644,1473,18,-6.499398231506348,3.3115720748901367,-0.02915018886194932,1.8951745445486472,0.6199020147323608,45.085,804.9570000000001,212.9353641321784,113.32425897538202,189.127,5,val
test,214,0,214,84,130,12,-2.880000114440918,2.5,-0.26978894179495416,1.292097700708703,-0.5794999897480011,70.13499999999999,894.054,219.63234112149533,128.55399714077205,185.6965,-1,test
