name,n_total,n_calc,n_exp,n_ox,n_red,n_solvents,e_min,e_max,e_mean,e_std,e_median,mw_min,mw_max,mw_mean,mw_std,mw_median,fold,split
fold_1_train_exp_only,558,0,558,241,317,13,-2.799999952316284,2.6600000858306885,-0.13608375368251777,1.3292086286621656,-0.5004999935626984,45.085,788.914,214.4754086021505,114.57847412693184,188.2295,1,train
fold_1_val_exp_only,135,0,135,58,77,11,-2.75,2.5,-0.07858519051913862,1.3752868997701846,-0.5099999904632568,73.139,804.9570000000001,212.89988148148151,127.48552041952773,180.05599999999998,1,val
fold_2_train_exp_only,551,0,551,239,312,14,-2.799999952316284,2.6600000858306885,-0.11186431026142835,1.334558530310207,-0.4959999918937683,45.085,804.9570000000001,214.77881851179674,116.94733303428843,188.226,2,train
fold_2_val_exp_only,142,0,142,60,82,11,-2.7300000190734863,2.609999895095825,-0.17539788958367328,1.3525142594457118,-0.5370000004768372,68.07499999999999,777.1310000000001,211.8002323943662,118.17461484514394,188.20399999999998,2,val
fold_3_train_exp_only,559,0,559,234,325,14,-2.799999952316284,2.6600000858306885,-0.16169260818430445,1.348047941852269,-0.5289999842643738,45.085,804.9570000000001,211.4179051878354,115.82334344184024,187.15499999999997,3,train
fold_3_val_exp_only,134,0,134,65,69,9,-2.740000009536743,2.369999885559082,0.028674870896250454,1.2866179177661494,-0.13100000470876694,68.079,788.914,225.6429328358209,122.13988793874641,197.1935,3,val
fold_4_train_exp_only,552,0,552,238,314,13,-2.75,2.6600000858306885,-0.09951673077222845,1.3300300973908057,-0.48899999260902405,45.085,804.9570000000001,215.56428442028985,120.8649642548673,188.165,4,train
fold_4_val_exp_only,141,0,141,61,80,11,-2.799999952316284,2.309999942779541,-0.22418794247275547,1.3666482332825658,-0.5910000205039978,78.11399999999999,740.9100000000001,208.70409219858158,101.43741995985542,192.11099999999996,4,val
fold_5_train_exp_only,552,0,552,244,308,14,-2.799999952316284,2.609999895095825,-0.11464414534334472,1.3495947094830858,-0.4989999979734421,68.07499999999999,804.9570000000001,214.63867210144926,117.72113791204767,188.226,5,train
fold_5_val_exp_only,141,0,141,55,86,11,-2.690000057220459,2.6600000858306885,-0.16496572372625773,1.2933867739917209,-0.5260000228881836,45.085,788.914,212.32776595744681,115.1487746589423,184.242,5,val
test_exp_only,214,0,214,84,130,12,-2.880000114440918,2.5,-0.26978894179495416,1.292097700708703,-0.5794999897480011,70.13499999999999,894.054,219.63234112149533,128.55399714077205,185.6965,-1,test
